1000,3000,7188428.000000,2231112.729230,2245618.640869,4042621.599121,4218386.823975,4349372.848633,5732478.415283,1328778.787288,2157770.219832,2180978.941650,4010959.073975,4188881.224365,4318011.200439,4345960.224609,1315265.836806,2246194.803146,2433895.965820,4131427.058350,4216799.257324,4347404.538330,4353794.500488,1330445.565415,2256338.364044,2315609.697998,3921303.782227,4152125.357178,4360440.383545,4374444.821045,1248277.076847,1775772.309200,1765991.072754,3108735.150391,4131799.566895,4346801.036377,4346801.036377,1148149.447803,2207462.359121,2163235.626953,4029011.907471,4208581.539307,4329138.973633,4373309.479248,1338256.226173,2250010.866309,2384955.634277,4042239.778320,4214422.390869,4326335.071533,4380037.164795,1337036.621047,2317290.704222,2386499.372314,4066954.732178,4219942.409180,4324977.927490,4366093.520996,1297243.547178,2435222.051271,2432258.658203,4232276.834717,4382408.380371,5726146.201660,5732478.415283,1394549.213063
1053,3000,7114481.542000,2102730.118822,2101698.357422,3837382.091309,4012988.048584,4136971.621338,5456534.762207,1263394.806453,2030653.960329,2039078.773926,3798001.347900,3974658.218994,4095784.734863,4126018.086914,1245057.185484,2113104.906604,2283290.977783,3912008.703369,3999729.938477,4127434.359131,4130969.195801,1260543.108116,2121177.171758,2170257.353027,3715254.014404,3949917.364258,4129891.052979,4140815.397217,1182980.894085,1654520.926852,1653153.316406,2912108.400146,3942821.909424,4103489.946777,4103489.946777,1090211.577648,2075579.614141,2022942.818604,3817511.697266,3993191.852051,4107539.732910,4146953.897461,1269055.775053,2116304.964861,2259363.479248,3830219.969727,4000706.955322,4103972.149658,4204087.071289,1265707.974863,2170269.098497,2172871.120117,3878812.572998,4025186.912842,4103401.700684,4142347.730469,1247046.949884,2349900.236150,2286715.951660,4128470.915039,4543951.952881,5396196.656250,5456534.762207,1346601.792153
1111,3000,7189838.486000,2066903.569871,2077280.536865,3764175.257324,3927457.813965,4043196.669678,5397812.237549,1249352.674085,1997622.398385,2013081.373047,3734391.728271,3897026.138672,4013860.003418,4060817.541016,1235189.270387,2080564.523464,2264638.226074,3837923.161377,3918874.760498,4043785.927979,4061442.926758,1249678.882438,2090167.541334,2152417.649170,3652870.889160,3871734.885742,4042217.774658,4055166.092041,1172537.102614,1634667.125441,1619904.348877,2920487.210205,3851418.201660,4016437.959717,4016437.959717,1085362.431327,2040233.301334,2018373.907959,3753317.187256,3915271.208740,4037517.192139,4061235.631104,1258516.270872,2087585.344824,2216984.524414,3762764.327637,3900047.450928,4042288.001465,4083216.000488,1253316.065391,2151181.776922,2248176.688721,3781528.667236,3925215.772217,4035038.723389,4063506.174805,1221551.339553,2267192.097367,2278536.663818,3941246.390625,4047173.765869,5384771.067139,5397812.237549,1318885.431939
1176,3000,7178811.438000,1952478.211222,1951184.625000,3584264.852539,3734525.981445,3858096.313477,3999387.819092,1177922.558663,1885089.710180,1891045.556641,3561216.113525,3704697.082275,3816450.198242,3851486.520020,1166324.022746,1963707.711235,2128604.859131,3663716.638428,3747690.354736,3853801.200928,3855076.910645,1181520.801343,1970954.637043,2015858.600098,3466318.849365,3686380.359619,3855398.337158,3868488.550049,1108198.038901,1536144.881104,1531824.126465,2749949.684082,3699997.531006,3842642.446289,3842642.446289,1029015.600650,1926256.640582,1874999.012207,3569424.836914,3721222.620117,3834084.611816,3868236.025391,1190440.039939,1970006.677897,2101157.627197,3615652.949951,3758510.880127,3850010.001953,3889640.640869,1192088.503033,2028564.586657,1990239.523438,3651181.061035,3737542.281738,3954341.088379,3999387.819092,1177887.042954,2162454.462420,2134042.330322,3688624.255127,3903112.987305,3964994.394043,3986658.065430,1172997.413886
1250,3000,7256408.994000,1876158.552937,1868798.315430,3464050.629883,3617574.216309,3748230.336670,3853789.325684,1150020.177521,1811779.656729,1807727.844971,3434103.874023,3586993.299805,3694236.654785,3748230.336670,1140335.931945,1890396.659498,2081971.806641,3539357.803711,3605535.209473,3751465.703369,3754284.857910,1156173.102558,1896012.216933,1942607.261230,3359878.646240,3576791.611328,3724800.619629,3730480.321777,1085429.219866,1464813.860966,1441816.548096,2669994.656982,3569744.054199,3712812.520264,3712812.520264,1012701.674295,1852365.582689,1790329.234619,3452079.786865,3602777.705566,3723691.687012,3764881.124512,1163952.720989,1902216.104886,2006217.887695,3465701.458252,3617063.311523,3749926.028564,3818610.612061,1160006.581958,1986825.371095,2009871.635742,3533557.311523,3679737.143066,3767577.323242,3850455.256836,1157285.558315,2016015.307817,2054314.911133,3657235.243896,3755528.297852,3815690.152832,3853789.325684,1137409.298428
1333,3000,7262221.594000,1759414.068751,1752026.391113,3261588.315430,3398034.639648,3522936.966064,3640919.712158,1088899.379729,1696889.428147,1690333.736572,3233745.335938,3377329.186035,3467245.216064,3524687.089600,1079606.347759,1772338.218307,1946889.163574,3334718.405273,3390414.376221,3527881.132812,3530103.932373,1094284.691150,1775723.507941,1815042.674805,3163365.797607,3363883.783691,3489581.048584,3510097.308350,1029661.230326,1367127.287432,1340041.890869,2530885.409180,3364848.674561,3485904.647461,3485904.647461,967044.352377,1734679.616365,1672984.844482,3251027.045166,3390472.661621,3501942.629639,3600701.154053,1102201.350764,1781119.513230,1885772.094482,3261499.311768,3398034.639648,3522908.034668,3596153.608643,1099690.003226,1863117.780233,1855061.104980,3318946.830322,3461220.484131,3537783.500000,3637825.451660,1099492.580438,1913071.075971,1935234.752930,3465811.527344,3552957.059326,3598419.434326,3640919.712158,1065884.503623
1429,3000,7142988.387000,1584361.912744,1594343.866699,2922370.945801,3026380.214355,3119170.672852,5398238.398682,989882.545403,1524623.182906,1530962.559570,2894064.832275,3015711.323242,3079917.690430,3122442.489746,969878.269491,1591542.840927,1766797.090576,2979023.527100,3024649.986816,3125655.296875,3134878.689209,981284.575338,1591891.999174,1651430.425537,2826895.189453,2988178.201416,3100583.075195,3113453.277832,923476.068787,1217840.762554,1213059.382324,2293655.356201,2995406.171631,3077830.866455,3077830.866455,875249.556453,1555023.378762,1515150.628418,2910448.861816,3022230.287598,3101056.686768,3153042.648682,987215.975551,1599073.986807,1716086.717041,2919466.636963,3024258.287354,3101688.267578,3212890.991699,978508.303410,1626978.365020,1645404.253906,2938083.272461,3021639.338135,3116650.437500,3130397.853516,973945.285262,1823264.500421,1759123.951172,3078939.928223,3211796.250977,5370893.512695,5398238.398682,1112224.158793
1538,3000,7175932.549000,1444411.564563,1466825.582764,2678778.052979,2771979.723633,2850973.233154,4832398.601318,916536.851314,1388778.107603,1387764.535889,2654751.874512,2757421.287354,2814019.191895,2853498.259033,898922.009888,1452482.428282,1659801.673584,2726573.928223,2761748.005615,2847159.032715,2854753.593262,908600.208691,1449220.830968,1513491.642090,2590562.201660,2733507.134033,2826881.944336,2839697.901611,857571.383865,1101079.075282,1080371.786865,2133840.209717,2750851.338867,2805201.493408,2805201.493408,822185.094503,1415499.592587,1385863.037109,2670173.969971,2767080.014648,2833931.053223,2847284.926758,914000.924413,1459648.015423,1575469.340088,2679027.502930,2771979.723633,2847407.680664,2875314.493652,905757.138608,1518584.562597,1602336.705811,2695367.851318,2804541.902100,2865407.342285,2877000.021484,881592.485530,1637431.294044,1615724.411865,2798377.924805,2869761.099365,4819345.825439,4832398.601318,1045521.006111
1667,3000,7279432.642000,1302866.339228,1281295.351807,2444683.770996,2540469.500000,2667166.448730,2858329.317139,825789.359863,1250062.328562,1226834.077637,2416729.393555,2507470.429688,2562104.160645,2609926.381836,816229.465027,1308894.959474,1448987.620117,2470374.572998,2515336.645264,2608753.481201,2615546.384033,827534.811016,1305631.997197,1337932.999512,2361383.874023,2491904.872559,2574422.791260,2587435.556152,782020.556033,985178.490219,960797.438721,1957288.718994,2531734.658691,2566439.745117,2566439.745117,751424.522565,1275604.864500,1212050.586670,2431296.436035,2511591.612549,2586635.710938,2680331.145752,832072.113616,1316907.595411,1421486.326172,2439393.651855,2518736.676758,2663175.298828,2697184.075684,831228.752935,1373633.309963,1351632.796875,2487658.701416,2583529.357666,2705505.020020,2731146.848633,835302.361388,1487267.672668,1441358.885742,2598379.499512,2700798.855713,2757618.702637,2858329.317139,817955.095020
1818,3000,7418751.911000,1189928.758547,1186347.906250,2213137.489746,2279187.362793,2343898.515869,2515027.528076,744214.697292,1143080.418217,1134768.783691,2195029.005859,2241193.656494,2299535.478516,2352962.510742,739709.413784,1196306.658253,1355846.291260,2213137.489746,2277263.512451,2318345.379639,2356169.845947,749796.079257,1194857.439652,1251797.270996,2132705.613525,2234402.140381,2294431.657471,2302518.780273,705360.158183,913020.951991,881625.925293,1878263.025635,2261642.586670,2306730.171631,2306730.171631,691451.800327,1165221.211781,1131172.882568,2201045.923584,2259767.668945,2312491.794922,2340679.784668,749842.192847,1208117.479733,1312122.419922,2223448.246582,2293563.462158,2370598.332031,2396696.774658,753496.386731,1275766.567393,1289421.545166,2246675.895264,2311877.409912,2409341.615723,2499479.882812,734127.068773,1319448.338075,1409146.841797,2289205.497803,2346642.503174,2514930.516602,2515027.528076,734638.805291
2000,3000,7523409.235000,1017284.863057,1035303.486328,1847494.547119,1888772.350830,1985605.362793,2210550.005371,624026.164465,973799.273835,975528.531494,1829418.786133,1863924.000977,1926175.492432,1949310.297852,620079.561329,1019230.172463,1177115.892334,1846656.631592,1886498.675293,1942002.526855,1957273.376465,628008.192776,1017404.180383,1087105.333984,1790445.697754,1872307.082520,1924564.398438,1957792.249512,592169.778200,782914.507757,790293.532471,1577611.802979,1876765.827393,1959469.513428,1959469.513428,590526.465357,989521.180388,971802.960449,1841071.406738,1873751.728760,1923015.469482,1983644.993164,625037.440085,1034807.140746,1189080.655029,1845817.059814,1902713.553711,2006065.986084,2093764.699463,627631.657233,1093106.802451,1119308.333984,1880506.908203,1935574.968262,2044238.673584,2191973.519775,615843.696837,1159249.230247,1231312.714111,1956589.482910,2025414.803711,2191367.784180,2210550.005371,627252.905405
