1000.000000,3000,2851718.264000,82306.520283,65233.948174,183007.693225,207104.852172,227953.589344,263630.592508,57603.872123
1053.000000,3000,2984707.373000,58195.604206,45410.459148,144500.350319,165668.062940,185408.706941,220494.723074,48474.471652
1111.000000,3000,3149452.889000,43393.419778,30637.714355,111666.061015,127318.044939,148747.814470,186920.829957,37812.018495
1176.000000,3000,3330285.932000,36692.135541,25218.149950,93636.278974,107999.633585,129796.005386,168095.981085,33080.623668
1250.000000,3000,3536862.455000,30872.246105,20671.063481,80911.393741,94123.218831,117405.792000,158411.912385,29119.470897
1333.000000,3000,3769707.703000,25896.298765,17402.415049,63352.576921,83120.532014,103127.522677,139800.222856,24744.807849
1429.000000,3000,4038388.845000,20871.907767,14803.854375,52382.521284,71049.538772,85433.741485,120339.148353,20265.338552
1538.000000,3000,4348077.696000,16578.924523,11115.723771,41965.636211,59634.922072,69260.339382,100930.100875,16653.007686
1667.000000,3000,4706786.597000,13586.082110,9260.514364,33891.792264,44617.804870,55874.462179,80760.793341,13017.379912
1818.000000,3000,5131503.253000,10558.339791,7882.754561,22619.753139,30863.056812,42735.953374,60242.962666,9124.800923
2000.000000,3000,5642528.815000,8536.235346,6316.076639,17858.910629,22568.575650,33179.077421,55133.812991,6996.479020
2222.000000,3000,6267589.195000,7263.548474,5612.439205,14963.650960,18366.694948,28184.489915,54433.659205,5798.833115
2500.000000,3000,7045999.885000,6293.304219,4803.090802,12563.091760,15336.277675,23941.676763,48837.286489,5021.917416
2857.000000,3000,8051533.453000,5680.478039,4297.951824,11030.275521,13790.152988,24493.964678,40727.578514,4563.342357
3333.000000,3000,9391119.094000,4968.341832,3783.758384,9517.723032,12019.239249,22124.697028,38368.087420,4070.465140
4000.000000,3000,11267965.736000,4481.439580,3298.562657,8708.695032,10788.410787,21462.903320,36721.938156,3778.506209
5000.000000,3000,14080906.551000,4030.618335,2922.144460,7942.977936,9750.505506,21330.765831,32604.353463,3476.219189
6667.000000,3000,18771434.804000,3605.908055,2583.091093,7156.419833,9081.819652,21013.589015,30201.308403,3189.908121
10000.000000,3000,28152491.721000,3219.463839,2287.744484,6293.884325,8087.077363,20846.038822,27840.055926,2949.863301
20000.000000,3000,56303489.320000,2816.511134,1970.091721,5193.114688,7568.391882,20491.365488,25133.398828,2695.610906
40000.000000,3000,112605857.612000,2618.677001,1833.787233,4724.057248,7339.941884,20477.008497,24592.666743,2572.959321
80000.000000,3000,225210186.577000,2493.304589,1807.455677,4221.485764,7291.705146,20433.791644,23236.564479,2515.559763
160000.000000,3000,450419148.012000,2407.944721,1788.817102,3853.381951,7273.766836,20433.467135,23210.647049,2434.348271
