kernel_time avg p50 p90 p99
100 84.157 89.105 144.182 148.298
200 150.748 150.646 265.663 275.533
300 207.146 225.199 397.767 407.787
400 296.847 307.711 501.012 540.119
500 386.346 434.685 641.888 674.203
600 433.336 451.506 777.443 800.075
700 470.629 482.333 833.138 880.975
800 617.005 609.373 958.032 1002.855
900 754.712 768.724 1107.714 1149.455
1000 870.632 891.241 1249.482 1276.777
1100 1018.327 1032.581 1370.966 1412.646
1200 1148.552 1170.146 1496.726 1538.968
1300 1265.268 1256.058 1619.690 1658.536
1400 1404.621 1434.874 1773.280 1812.930
1500 1514.078 1507.690 1887.647 1937.131
1600 1636.642 1646.337 2031.130 2099.568
1700 1787.620 1807.946 2165.315 2204.094
1800 1897.634 1959.026 2274.852 2339.276
1900 2029.359 2015.365 2391.103 2431.314
2000 2181.407 2214.840 2546.379 2575.308
