kernel_time avg p50 p90 p99
100 740.970 795.906 1039.183 1053.165
200 1523.029 1652.246 2041.280 2112.724
300 2529.065 2723.737 3132.801 3165.978
400 3184.429 3750.424 4171.756 4222.037
500 3668.352 4705.591 5239.751 5280.099
600 4473.877 5830.665 6290.908 6338.070
700 5400.177 6848.577 7351.429 7385.215
800 6194.907 7895.380 8427.057 8453.615
900 7341.805 9057.497 9469.470 9530.304
1000 7611.333 10043.643 10546.966 10582.010
1100 8549.590 11075.410 11560.977 11633.081
1200 9908.747 12138.403 12670.228 12699.643
1300 10228.420 13201.170 13721.378 13761.014
1400 11500.265 14301.913 14769.482 14814.938
1500 11981.999 15356.279 15819.367 15872.736
1600 13046.048 16402.114 16881.799 16924.211
1700 13454.910 17445.101 17956.405 17989.260
1800 14348.277 18511.845 19017.814 19056.313
1900 15527.894 19621.575 20041.309 20096.723
2000 16218.398 20670.066 21145.793 21159.888
